player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Saints,DST,543.3,0.0,543.3,543.3,543.3,543.3
Patriots,DST,537.2,0.0,537.2,537.2,537.2,537.2
Falcons,DST,529.1,0.0,529.1,529.1,529.1,529.1
Texans,DST,519.0,0.0,519.0,519.0,519.0,519.0
Browns,DST,304.45,297.45,-290.45,899.35,64.9099376059,304.45
Browns,DST,304.45,297.45,-290.45,899.35,64.9099376059,304.45
Lions,DST,299.0,291.0,-283.0,881.0,68.7022561493,299.0
Lions,DST,299.0,291.0,-283.0,881.0,68.7022561493,299.0
Vikings,DST,290.85,284.65,-278.45,860.15,59.7335751483,290.85
Vikings,DST,290.85,284.65,-278.45,860.15,59.7335751483,290.85
Jaguars,DST,283.5,276.1,-268.7,835.7,64.3509129694,283.5
Jaguars,DST,283.5,276.1,-268.7,835.7,64.3509129694,283.5
Broncos,DST,281.85,273.35,-264.85,828.55,68.6964336774,281.85
Broncos,DST,281.85,273.35,-264.85,828.55,68.6964336774,281.85
Giants,DST,281.5,274.3,-267.1,830.1,63.2594656949,281.5
Giants,DST,281.5,274.3,-267.1,830.1,63.2594656949,281.5
Bears,DST,279.15,274.35,-269.55,827.85,51.5441558278,279.15
Bears,DST,279.15,274.35,-269.55,827.85,51.5441558278,279.15
Eagles,DST,277.85,270.55,-263.25,818.95,63.271794664,277.85
Eagles,DST,277.85,270.55,-263.25,818.95,63.271794664,277.85
49ers,DST,277.45,272.75,-268.05,822.95,50.852138598100005,277.45
49ers,DST,277.45,272.75,-268.05,822.95,50.852138598100005,277.45
Rams,DST,277.45,269.15,-260.85,815.75,67.3556233733,277.45
Ravens,DST,275.7,269.2,-262.7,814.1,59.513443859300004,275.7
Ravens,DST,275.7,269.2,-262.7,814.1,59.513443859300004,275.7
Buccaneers,DST,272.55,265.05,-257.55,802.65,63.49803146560001,272.55
Buccaneers,DST,272.55,265.05,-257.55,802.65,63.49803146560001,272.55
Cardinals,DST,269.95,262.35,-254.75,794.65,63.60408791890001,269.95
Cardinals,DST,269.95,262.35,-254.75,794.65,63.60408791890001,269.95
Jets,DST,269.55,261.65,-253.75,792.85,64.780243902,269.55
Jets,DST,269.55,261.65,-253.75,792.85,64.780243902,269.55
Bengals,DST,267.25,259.55,-251.85,786.35,63.689559583999994,267.25
Bengals,DST,267.25,259.55,-251.85,786.35,63.689559583999994,267.25
Titans,DST,265.95,259.35,-252.75,784.65,58.8810665664,265.95
Titans,DST,265.95,259.35,-252.75,784.65,58.8810665664,265.95
Steelers,DST,265.6,258.4,-251.2,782.4,61.4231226819,265.6
Steelers,DST,265.6,258.4,-251.2,782.4,61.4231226819,265.6
Seahawks,DST,265.35,256.75,-248.15,778.85,67.0079099808,265.35
