player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Panthers,DST,8.7,0.2,8.3,9.1,8.697700845630001,8.7
Chiefs,DST,8.35,0.85,6.65,10.05,8.306623862919999,8.35
Colts,DST,7.65,0.55,6.55,8.75,7.630203142769999,7.65
Cardinals,DST,7.35,0.05,7.25,7.45,7.34982993001,7.35
Packers,DST,7.25,0.15,6.95,7.55,7.24844810977,7.25
Seahawks,DST,7.2,1.0,5.2,9.2,7.130217387989999,7.2
Bengals,DST,7.05,0.25,6.55,7.55,7.045565981519999,7.05
Steelers,DST,6.65,0.65,5.35,7.95,6.6181568431099995,6.65
Broncos,DST,6.6,1.2,4.2,9.0,6.48999229584,6.6
Texans,DST,6.55,0.05,6.45,6.65,6.54980915753,6.55
Raiders,DST,6.45,0.45,5.55,7.35,6.43428317686,6.45
Vikings,DST,6.45,0.95,4.55,8.35,6.37965516309,6.45
Patriots,DST,6.35,1.05,4.25,8.45,6.26258732474,6.35
Lions,DST,6.3,1.1,4.1,8.5,6.203224967710001,6.3
Buccaneers,DST,6.05,1.35,3.35,8.75,5.8974570791100005,6.05
Eagles,DST,6.0,0.7,4.6,7.4,5.95902676618,6.0
Bills,DST,5.8,0.3,5.2,6.4,5.79223618303,5.8
Redskins,DST,5.75,1.05,3.65,7.85,5.653317610040001,5.75
Jets,DST,5.5,0.8,3.9,7.1,5.441507144169999,5.5
Jaguars,DST,5.35,1.05,3.25,7.45,5.24595081944,5.35
Titans,DST,5.25,1.05,3.15,7.35,5.143928459840001,5.25
Bears,DST,5.05,0.65,3.75,6.35,5.00799361022,5.05
Browns,DST,5.0,1.2,2.6,7.4,4.853864439800001,5.0
Saints,DST,4.95,1.65,1.65,8.25,4.66690475583,4.95
Cowboys,DST,4.9,0.8,3.3,6.5,4.83425278611,4.9
Giants,DST,4.8,0.2,4.4,5.2,4.7958315233099995,4.8
Falcons,DST,4.75,1.15,2.45,7.05,4.60868744872,4.75
Ravens,DST,4.7,0.4,3.9,5.5,4.68294778959,4.7
Chargers,DST,4.7,0.7,3.3,6.1,4.64758001545,4.7
Dolphins,DST,4.05,1.25,1.55,6.55,3.85227205685,4.05
49ers,DST,3.8,0.4,3.0,4.6,3.7788887255400003,3.8
Russell Wilson,QB,22.705,1.845,19.015,26.395,22.629913831033473,22.705
Matt Ryan,QB,21.0,2.7,15.6,26.4,20.825705270170328,21.0
Andrew Luck,QB,20.805,0.475,19.855,21.755,20.79957691877409,20.805
Drew Brees,QB,20.221,2.989,14.243,26.199,19.998867967962582,20.221
Cam Newton,QB,19.83,0.29,19.25,20.41,19.827879362150668,19.83
Tyrod Taylor,QB,18.819,0.809,17.201,20.437,18.801603123138197,18.819
Derek Carr,QB,18.085,2.075,13.935,22.235,17.96556706591807,18.085
Ben Roethlisberger,QB,18.033,5.077,7.879,28.187,17.303559171453717,18.033
Aaron Rodgers,QB,18.013,3.167,11.679,24.347,17.732407619948283,18.013
Alex Smith,QB,17.803,1.623,14.557,21.049,17.728865727959025,17.803
Jameis Winston,QB,17.802,0.052,17.698,17.906,17.80192405331514,17.802
Dak Prescott,QB,17.091,2.309,12.473,21.709,16.93430837087833,17.091
Matthew Stafford,QB,16.728,2.542,11.644,21.812,16.533729766752572,16.728
Robert Griffin,QB,16.705,0.105,16.495,16.915,16.704670005719958,16.705
Ryan Fitzpatrick,QB,16.65,0.01,16.63,16.67,16.64999699699673,16.65
Andy Dalton,QB,16.48,1.29,13.9,19.06,16.4294339525134,16.48
Kirk Cousins,QB,16.335,2.195,11.945,20.725,16.186852689760286,16.335
Jimmy Garoppolo,QB,16.29,2.8,10.69,21.89,16.047557446539958,16.29
Carson Palmer,QB,15.807,2.223,11.361,20.253,15.649904792042665,15.807
Philip Rivers,QB,15.666,1.684,12.298,19.034,15.575227125149736,15.666
Jay Cutler,QB,15.519,0.771,13.977,17.061,15.499836128166,15.519
Blaine Gabbert,QB,15.286,1.156,12.974,17.598,15.242226215353192,15.286
Brock Osweiler,QB,15.24,1.98,11.28,19.2,15.110830552951084,15.24
Eli Manning,QB,15.208,3.272,8.664,21.752,14.851844329914044,15.208
Marcus Mariota,QB,15.034,1.576,11.882,18.186,14.951166509674087,15.034
Blake Bortles,QB,14.966,2.494,9.978,19.954,14.756731345389467,14.966
Carson Wentz,QB,14.796,0.094,14.608,14.984,14.795701402772357,14.796
Joe Flacco,QB,14.771,1.509,11.753,17.789,14.693718385759265,14.771
Ryan Tannehill,QB,14.162,1.948,10.266,18.058,14.027385358647566,14.162
Case Keenum,QB,13.996,1.496,11.004,16.988,13.915818337417315,13.996
Trevor Siemian,QB,10.704,0.734,9.236,12.172,10.678804240175959,10.704
Shaun Hill,QB,6.715,6.715,-6.715,20.145,13.430000000000001,6.715
Sam Bradford,QB,6.268,6.268,-6.268,18.804,12.536000000000001,6.268
Josh McCown,QB,2.906,0.0,2.906,2.906,2.9059999999999997,2.906
Paxton Lynch,QB,2.238,0.0,2.238,2.238,2.238,2.238
Colin Kaepernick,QB,1.952,0.0,1.952,1.952,1.952,1.952
Trevone Boykin,QB,1.41,0.0,1.41,1.41,1.4100000000000001,1.41
Chase Daniel,QB,1.28,0.0,1.28,1.28,1.28,1.28
Mark Sanchez,QB,0.834,0.834,-0.834,2.502,1.668,0.834
Landry Jones,QB,0.776,0.0,0.776,0.776,0.776,0.776
Sean Mannion,QB,0.36,0.0,0.36,0.36,0.36,0.36
Geno Smith,QB,0.352,0.0,0.352,0.352,0.352,0.352
Matt Cassel,QB,0.216,0.0,0.216,0.216,0.21599999999999997,0.216
Matt Schaub,QB,0.196,0.0,0.196,0.196,0.196,0.196
Brian Hoyer,QB,0.196,0.0,0.196,0.196,0.196,0.196
E.J. Manuel,QB,0.188,0.0,0.188,0.188,0.188,0.188
Matt Moore,QB,0.182,0.0,0.182,0.182,0.182,0.182
Kellen Clemens,QB,0.182,0.0,0.182,0.182,0.182,0.182
Colt McCoy,QB,0.182,0.0,0.182,0.182,0.182,0.182
AJ McCarron,QB,0.17,0.0,0.17,0.17,0.16999999999999998,0.17
Chad Henne,QB,0.162,0.0,0.162,0.162,0.16199999999999998,0.162
Mike Glennon,QB,0.158,0.0,0.158,0.158,0.15800000000000003,0.158
Ryan Nassib,QB,0.144,0.0,0.144,0.144,0.14400000000000002,0.144
Luke McCown,QB,0.128,0.0,0.128,0.128,0.128,0.128
Ryan Mallett,QB,0.112,0.0,0.112,0.112,0.11199999999999999,0.112
Dan Orlovsky,QB,0.108,0.0,0.108,0.108,0.108,0.108
Scott Tolzien,QB,0.104,0.0,0.104,0.104,0.10400000000000001,0.104
Matt McGloin,QB,0.1,0.0,0.1,0.1,0.10000000000000002,0.1
Drew Stanton,QB,0.096,0.0,0.096,0.096,0.09600000000000002,0.096
Derek Anderson,QB,0.096,0.0,0.096,0.096,0.09600000000000002,0.096
Brett Hundley,QB,0.096,0.0,0.096,0.096,0.09600000000000002,0.096
Tom Savage,QB,0.092,0.0,0.092,0.092,0.092,0.092
Nick Foles,QB,0.08,0.0,0.08,0.08,0.07999999999999999,0.08
Cardale Jones,QB,0.0,0.0,0.0,0.0,--,0.0
Christian Hackenberg,QB,0.0,0.0,0.0,0.0,--,0.0
Cody Kessler,QB,0.0,0.0,0.0,0.0,--,0.0
Jared Goff,QB,0.0,0.0,0.0,0.0,--,0.0
Connor Cook,QB,0.0,0.0,0.0,0.0,--,0.0
Jerrod Johnson,QB,0.0,0.0,0.0,0.0,--,0.0
Jeff Driskel,QB,0.0,0.0,0.0,0.0,--,0.0
Jacoby Brissett,QB,0.0,0.0,0.0,0.0,--,0.0
Christian Ponder,QB,0.0,0.0,0.0,0.0,--,0.0
Austin Davis,QB,0.0,0.0,0.0,0.0,--,0.0
Ryan Griffin,QB,0.0,0.0,0.0,0.0,--,0.0
Josh Johnson,QB,0.0,0.0,0.0,0.0,--,0.0
Bryce Petty,QB,0.0,0.0,0.0,0.0,--,0.0
Matt Simms,QB,0.0,0.0,0.0,0.0,--,0.0
Stephen Morris,QB,0.0,0.0,0.0,0.0,--,0.0
Keith Wenning,QB,0.0,0.0,0.0,0.0,--,0.0
Logan Thomas,QB,0.0,0.0,0.0,0.0,--,0.0
David Fales,QB,0.0,0.0,0.0,0.0,--,0.0
Zach Mettenberger,QB,0.0,0.0,0.0,0.0,--,0.0
Aaron Murray,QB,0.0,0.0,0.0,0.0,--,0.0
Brandon Weeden,QB,0.0,0.0,0.0,0.0,--,0.0
Todd Gurley,RB,17.15,0.0,17.15,17.15,17.149999999999995,17.15
Ezekiel Elliott,RB,16.76,0.0,16.76,16.76,16.759999999999998,16.76
Devonta Freeman,RB,16.43,0.0,16.43,16.43,16.430000000000003,16.43
David Johnson,RB,16.35,0.0,16.35,16.35,16.350000000000005,16.35
DeAngelo Williams,RB,15.75,0.0,15.75,15.75,15.750000000000002,15.75
Lamar Miller,RB,15.3,0.0,15.3,15.3,15.3,15.3
Mark Ingram,RB,14.56,0.0,14.56,14.56,14.56,14.56
Adrian Peterson,RB,14.3,0.0,14.3,14.3,14.299999999999999,14.3
Latavius Murray,RB,13.6,0.0,13.6,13.6,13.600000000000001,13.6
James White,RB,13.18,0.0,13.18,13.18,13.18,13.18
LeSean McCoy,RB,13.18,0.0,13.18,13.18,13.18,13.18
Doug Martin,RB,13.13,0.0,13.13,13.13,13.130000000000003,13.13
Duke Johnson,RB,13.1,0.0,13.1,13.1,13.099999999999998,13.1
Carlos Hyde,RB,12.73,0.0,12.73,12.73,12.729999999999999,12.73
Eddie Lacy,RB,12.48,0.0,12.48,12.48,12.480000000000004,12.48
Spencer Ware,RB,12.3,0.0,12.3,12.3,12.300000000000002,12.3
Danny Woodhead,RB,11.93,0.0,11.93,11.93,11.930000000000003,11.93
Ryan Mathews,RB,11.55,0.0,11.55,11.55,11.549999999999999,11.55
Matt Forte,RB,11.47,0.0,11.47,11.47,11.469999999999999,11.47
Rashad Jennings,RB,10.92,0.0,10.92,10.92,10.920000000000002,10.92
C.J. Anderson,RB,10.9,0.0,10.9,10.9,10.9,10.9
Theo Riddick,RB,10.84,0.0,10.84,10.84,10.839999999999998,10.84
LeGarrette Blount,RB,10.76,0.0,10.76,10.76,10.760000000000002,10.76
Frank Gore,RB,10.34,0.0,10.34,10.34,10.34,10.34
T.J. Yeldon,RB,10.32,0.0,10.32,10.32,10.32,10.32
Charles Sims,RB,10.21,0.0,10.21,10.21,10.210000000000003,10.21
Melvin Gordon,RB,10.03,0.0,10.03,10.03,10.030000000000003,10.03
DeMarco Murray,RB,9.92,0.0,9.92,9.92,9.92,9.92
Jeremy Langford,RB,9.92,0.0,9.92,9.92,9.92,9.92
Giovani Bernard,RB,9.88,0.0,9.88,9.88,9.88,9.88
Charcandrick West,RB,9.88,0.0,9.88,9.88,9.88,9.88
Jonathan Stewart,RB,9.86,0.0,9.86,9.86,9.860000000000003,9.86
Ameer Abdullah,RB,9.62,0.0,9.62,9.62,9.62,9.62
Matt Jones,RB,9.45,0.0,9.45,9.45,9.45,9.45
Shane Vereen,RB,9.44,0.0,9.44,9.44,9.440000000000001,9.44
Arian Foster,RB,9.44,0.0,9.44,9.44,9.440000000000001,9.44
Darren Sproles,RB,9.22,0.0,9.22,9.22,9.219999999999997,9.22
Isaiah Crowell,RB,8.67,0.0,8.67,8.67,8.67,8.67
Chris Ivory,RB,8.12,0.0,8.12,8.12,8.12,8.12
Justin Forsett,RB,8.1,0.0,8.1,8.1,8.100000000000001,8.1
Christine Michael,RB,7.98,0.0,7.98,7.98,7.9799999999999995,7.98
Bilal Powell,RB,7.76,0.0,7.76,7.76,7.759999999999999,7.76
Derrick Henry,RB,7.64,0.0,7.64,7.64,7.6400000000000015,7.64
Jerick McKinnon,RB,7.56,0.0,7.56,7.56,7.56,7.56
Terrance West,RB,7.5,0.0,7.5,7.5,7.499999999999999,7.5
Jeremy Hill,RB,7.31,0.0,7.31,7.31,7.310000000000002,7.31
C.J. Spiller,RB,6.83,0.0,6.83,6.83,6.83,6.83
Tevin Coleman,RB,6.72,0.0,6.72,6.72,6.7200000000000015,6.72
Thomas Rawls,RB,6.47,0.0,6.47,6.47,6.47,6.47
Shaun Draughn,RB,6.2,0.0,6.2,6.2,6.200000000000001,6.2
Chris Thompson,RB,6.08,0.0,6.08,6.08,6.08,6.08
Jordan Howard,RB,5.71,0.0,5.71,5.71,5.710000000000001,5.71
James Starks,RB,5.69,0.0,5.69,5.69,5.690000000000001,5.69
Zach Zenner,RB,5.43,0.0,5.43,5.43,5.4300000000000015,5.43
