,Unnamed: 0,playerId,rec,recYds,recTds,fumbles,analyst,player,position,games,rushAtt,rushYds,rushTds,rush40,rec40,returnYds,returnTds,twoPts,Fantasy Points
0,1,324,4.0,46.2,0.2,0.0,-1,Jacob Tamme,TE,,,,,,,,,,
1,2,1060,3.4,42.8,0.3,0.0,-1,Gary Barnidge,TE,,,,,,,,,,
2,3,1062,3.5,28.2,0.3,0.0,-1,Martellus Bennett,TE,,,,,,,,,,
3,4,71255,0.0,0.0,0.0,0.0,-1,Chase Coffman,TE,,,,,,,,,,
4,5,71265,2.8,33.8,0.1,0.0,-1,Jared Cook,TE,,,,,,,,,,
5,6,71435,0.2,1.5,0.0,0.0,-1,John Phillips,TE,,,,,,,,,,
6,7,79589,0.2,1.6,0.0,0.0,-1,David Johnson,TE,,,,,,,,,,
7,8,89766,1.5,15.5,0.1,0.0,-1,Brandon Myers,TE,,,,,,,,,,
8,9,238457,3.5,33.9,0.3,0.0,-1,Zach Miller,TE,,,,,,,,,,
9,10,497224,1.5,15.2,0.1,0.0,-1,Ed Dickson,TE,,,,,,,,,,
10,11,497226,0.3,3.6,0.0,0.0,-1,Jim Dray,TE,,,,,,,,,,
11,12,497236,3.0,34.4,0.2,0.0,-1,Jimmy Graham,TE,,,,,,,,,,
12,13,497238,2.0,20.9,0.1,0.0,-1,Jermaine Gresham,TE,,,,,,,,,,
13,14,497240,2.1,28.8,0.3,0.0,-1,Rob Gronkowski,TE,,,,,,,,,,
14,15,497242,0.5,4.3,0.0,0.0,-1,Clay Harbor,TE,,,,,,,,,,
15,16,497254,5.4,48.2,0.3,0.0,-1,Dennis Pitta,TE,,,,,,,,,,
16,17,497256,0.0,0.0,0.0,0.0,-1,Tony Moeaki,TE,,,,,,,,,,
17,18,497258,0.6,5.0,0.0,0.0,-1,Andrew Quarless,TE,,,,,,,,,,
18,19,2495139,3.3,31.7,0.1,0.0,-1,Charles Clay,TE,,,,,,,,,,
19,20,2495187,2.0,19.8,0.2,0.0,-1,Lance Kendricks,TE,,,,,,,,,,
20,21,2495234,0.4,2.4,0.0,0.0,-1,Luke Stocker,TE,,,,,,,,,,
21,22,2495267,2.5,27.8,0.3,0.0,-1,Jordan Cameron,TE,,,,,,,,,,
22,23,2495288,3.4,31.2,0.2,0.0,-1,Virgil Green,TE,,,,,,,,,,
23,24,2495347,0.9,8.9,0.1,0.0,-1,Lee Smith,TE,,,,,,,,,,
24,25,2495353,3.7,40.4,0.4,0.0,-1,Julius Thomas,TE,,,,,,,,,,
25,26,2495438,3.0,28.7,0.3,0.0,-1,Kyle Rudolph,TE,,,,,,,,,,
26,27,2495700,5.1,67.8,0.4,0.1,-1,Greg Olsen,TE,,,,,,,,,,
27,28,2495826,2.1,21.5,0.1,0.0,-1,Vernon Davis,TE,,,,,,,,,,
28,29,2495835,0.2,2.3,0.0,0.0,-1,Anthony Fasano,TE,,,,,,,,,,
29,30,2495888,1.8,20.3,0.1,0.0,-1,Marcedes Lewis,TE,,,,,,,,,,
30,31,2495966,5.5,70.6,0.4,0.0,-1,Delanie Walker,TE,,,,,,,,,,
31,32,2505299,4.2,43.5,0.5,0.0,-1,Antonio Gates,TE,,,,,,,,,,
32,33,2505629,4.8,48.0,0.2,0.1,-1,Jason Witten,TE,,,,,,,,,,
33,34,2507218,1.4,17.6,0.1,0.0,-1,Brent Celek,TE,,,,,,,,,,
34,35,2507486,0.9,8.5,0.0,0.0,-1,Kellen Davis,TE,,,,,,,,,,
35,36,2507828,0.0,0.0,0.0,0.0,-1,Logan Paulsen,TE,,,,,,,,,,
