,Unnamed: 0,playerId,rec,recYds,recTds,fumbles,analyst,player,position,games,rushAtt,rushYds,rushTds,rush40,rec40,returnYds,returnTds,twoPts,Fantasy Points
0,1,206,0.0,0.0,0.0,0.0,-1,Andre Caldwell,WR,,,,,,,,,,
1,2,222,1.1,11.9,0.1,0.1,-1,Harry Douglas,WR,,,,,,,,,,
2,3,318,0.0,0.0,0.0,0.0,-1,Jerome Simpson,WR,,,,,,,,,,
3,4,1032,6.4,75.5,0.8,0.0,-1,Jordy Nelson,WR,,,,,,,,,,
4,5,1581,4.2,55.6,0.3,0.1,-1,DeSean Jackson,WR,,,,,,,,,,
5,6,1990,4.2,39.4,0.3,0.0,-1,Eddie Royal,WR,,,,,,,,,,
6,7,2346,3.5,36.3,0.2,0.0,-1,Pierre Garcon,WR,,,,,,,,,,
7,8,2649,2.3,23.2,0.2,0.2,-1,Danny Amendola,WR,,,,,,,,,,
8,9,4487,0.0,0.0,0.0,0.0,-1,Matt Slater,WR,,,,,,,,,,
9,10,71217,3.0,37.2,0.2,0.0,-1,Kenny Britt,WR,,,,,,,,,,
10,11,71269,4.9,51.3,0.5,0.0,-1,Michael Crabtree,WR,,,,,,,,,,
11,12,71417,1.8,17.6,0.1,0.0,-1,Jordan Norwood,WR,,,,,,,,,,
12,13,80427,0.3,5.0,0.0,0.0,-1,Darrius Heyward-Bey,WR,,,,,,,,,,
13,14,80429,4.8,65.9,0.6,0.0,-1,Jeremy Maclin,WR,,,,,,,,,,
14,15,81306,0.0,0.0,0.0,0.0,-1,Brandon Tate,WR,,,,,,,,,,
15,16,238498,4.9,49.2,0.3,0.1,-1,Julian Edelman,WR,,,,,,,,,,
16,17,497278,4.5,59.3,0.6,0.0,-1,Dez Bryant,WR,,,,,,,,,,
17,18,497282,0.0,0.0,0.0,0.0,-1,Riley Cooper,WR,,,,,,,,,,
18,19,497284,4.7,61.1,0.5,0.0,-1,Eric Decker,WR,,,,,,,,,,
19,20,497302,2.8,33.5,0.1,0.0,-1,Brandon LaFell,WR,,,,,,,,,,
20,21,497322,4.7,59.4,0.3,0.1,-1,Emmanuel Sanders,WR,,,,,,,,,,
21,22,497326,5.0,49.2,0.2,0.0,-1,Golden Tate,WR,,,,,,,,,,
22,23,497328,5.3,62.9,0.3,0.1,-1,Demaryius Thomas,WR,,,,,,,,,,
23,24,2495159,0.5,6.0,0.1,0.0,-1,Dwayne Harris,WR,,,,,,,,,,
24,25,2495189,3.1,26.0,0.1,0.0,-1,Jeremy Kerley,WR,,,,,,,,,,
25,26,2495223,1.7,28.5,0.2,0.0,-1,Greg Salas,WR,,,,,,,,,,
26,27,2495341,1.3,16.2,0.1,0.1,-1,Cecil Shorts,WR,,,,,,,,,,
27,28,2495448,5.6,58.8,0.4,0.0,-1,Randall Cobb,WR,,,,,,,,,,
28,29,2495450,5.4,67.4,0.5,0.1,-1,A.J. Green,WR,,,,,,,,,,
29,30,2495453,1.5,19.9,0.3,0.0,-1,Andre Holmes,WR,,,,,,,,,,
30,31,2495454,7.1,105.0,0.5,0.1,-1,Julio Jones,WR,,,,,,,,,,
31,32,2495459,2.6,38.3,0.2,0.0,-1,Torrey Smith,WR,,,,,,,,,,
32,33,2495558,0.0,0.0,0.0,0.0,-1,Dwayne Bowe,WR,,,,,,,,,,
33,34,2495893,5.1,68.0,0.4,0.1,-1,Brandon Marshall,WR,,,,,,,,,,
34,35,2504595,3.8,45.4,0.2,0.0,-1,Steve Smith,WR,,,,,,,,,,
35,36,2505551,2.0,24.9,0.2,0.1,-1,Andre Johnson,WR,,,,,,,,,,
36,37,2505587,2.5,29.6,0.2,0.1,-1,Anquan Boldin,WR,,,,,,,,,,
37,38,2506106,5.6,66.6,0.5,0.1,-1,Larry Fitzgerald,WR,,,,,,,,,,
38,39,2506400,2.9,40.4,0.1,0.0,-1,Vincent Jackson,WR,,,,,,,,,,
39,40,2506897,0.0,0.0,0.0,0.0,-1,Devin Hester,WR,,,,,,,,,,
40,41,2507029,0.0,0.0,0.0,0.0,-1,Eric Weems,WR,,,,,,,,,,
41,42,2507166,1.3,20.2,0.1,0.2,-1,Ted Ginn,WR,,,,,,,,,,
42,43,2507183,0.0,0.0,0.0,0.0,-1,James Jones,WR,,,,,,,,,,
43,44,2507763,3.9,51.2,0.5,0.0,-1,Mike Wallace,WR,,,,,,,,,,
44,45,2507855,3.4,49.7,0.4,0.2,-1,Victor Cruz,WR,,,,,,,,,,
45,46,2508061,7.5,105.0,0.6,0.2,-1,Antonio Brown,WR,,,,,,,,,,
46,47,2508097,2.0,20.2,0.1,0.1,-1,Andrew Hawkins,WR,,,,,,,,,,
47,48,2508115,0.0,0.0,0.0,0.0,-1,Vincent Brown,WR,,,,,,,,,,
48,49,2528181,0.7,7.0,0.0,0.0,-1,Bryan Walters,WR,,,,,,,,,,
49,50,2530515,1.9,24.1,0.2,0.0,-1,Chris Hogan,WR,,,,,,,,,,
50,51,2530598,0.0,0.0,0.0,0.0,-1,Jeremy Ross,WR,,,,,,,,,,
51,52,2530660,0.8,9.4,0.1,0.0,-1,Kamar Aiken,WR,,,,,,,,,,
52,53,2530700,2.5,31.5,0.1,0.1,-1,Dontrelle Inman,WR,,,,,,,,,,
53,54,2530747,5.3,66.6,0.7,0.0,-1,Doug Baldwin,WR,,,,,,,,,,
54,55,2531332,2.7,44.6,0.2,0.0,-1,Terrelle Pryor,WR,,,,,,,,,,
55,56,2532790,4.9,59.4,0.5,0.1,-1,Travis Benjamin,WR,,,,,,,,,,
56,57,2532841,3.5,55.6,0.5,0.0,-1,Michael Floyd,WR,,,,,,,,,,
57,58,2532865,5.4,74.1,0.4,0.0,-1,T.Y. Hilton,WR,,,,,,,,,,
58,59,2532884,5.4,73.1,0.3,0.0,-1,Marvin Jones,WR,,,,,,,,,,
59,60,2532887,2.9,34.6,0.2,0.0,-1,Jermaine Kearse,WR,,,,,,,,,,
60,61,2532900,0.0,0.0,0.0,0.0,-1,Keshawn Martin,WR,,,,,,,,,,
61,62,2532903,2.4,34.3,0.2,0.0,-1,Rishard Matthews,WR,,,,,,,,,,
62,63,2532933,1.6,17.1,0.1,0.0,-1,Brian Quick,WR,,,,,,,,,,
63,64,2532960,0.0,0.0,0.0,0.0,-1,Nick Toon,WR,,,,,,,,,,
64,65,2532977,3.1,34.8,0.3,0.0,-1,Kendall Wright,WR,,,,,,,,,,
65,66,2532978,0.6,7.4,0.0,0.0,-1,Jarius Wright,WR,,,,,,,,,,
66,67,2533039,4.8,59.8,0.4,0.0,-1,Alshon Jeffery,WR,,,,,,,,,,
67,68,2533040,4.3,52.4,0.2,0.0,-1,Mohamed Sanu,WR,,,,,,,,,,
68,69,2533533,0.0,0.0,0.0,0.0,-1,Rueben Randle,WR,,,,,,,,,,
69,70,2534436,0.2,4.0,0.0,0.0,-1,Deonte Thompson,WR,,,,,,,,,,
70,71,2535634,0.0,0.0,0.0,0.0,-1,Chris Givens,WR,,,,,,,,,,
71,72,2535698,4.4,46.1,0.4,0.1,-1,Cole Beasley,WR,,,,,,,,,,
72,73,2535869,0.3,2.9,0.0,0.0,-1,Rod Streater,WR,,,,,,,,,,
73,74,2535876,0.5,5.3,0.0,0.0,-1,Griff Whalen,WR,,,,,,,,,,
74,75,2535964,0.3,3.0,0.0,0.0,-1,Josh Bellamy,WR,,,,,,,,,,
75,76,2535966,0.4,4.5,0.0,0.1,-1,Brenton Bersin,WR,,,,,,,,,,
76,77,2535988,0.0,0.0,0.0,0.0,-1,Brittan Golden,WR,,,,,,,,,,
77,78,2539205,2.9,37.8,0.3,0.0,-1,Terrance Williams,WR,,,,,,,,,,
78,79,2539214,0.0,0.0,0.0,0.0,-1,Kenbrell Thompkins,WR,,,,,,,,,,
