,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Josh McCown,CHI,1,27,36,348,4,0,3,16,1
Peyton Manning,DEN,1,39,59,397,4,0,3,-1,0
Andrew Luck,IND,1,29,46,326,4,0,2,32,0
Jason Campbell,CLE,1,29,44,391,3,0,2,27,0
Andy Dalton,CIN,1,24,35,275,3,0,5,11,1
Drew Brees,NO,1,30,42,313,4,0,3,3,0
Ben Roethlisberger,PIT,1,23,39,349,3,0,1,8,0
Tom Brady,NE,1,32,52,418,2,1,2,1,0
Ryan Tannehill,MIA,1,20,33,200,3,1,2,56,0
Joe Flacco,BAL,1,28,50,245,3,3,1,22,0
Geno Smith,NYJ,1,16,25,219,1,1,5,50,1
Philip Rivers,SD,1,21,28,249,3,0,0,0,0
Matt McGloin,OAK,1,18,31,245,2,1,2,20,0
Matt Cassel,MIN,1,17,38,265,2,0,2,6,0
Nick Foles,PHI,1,11,22,179,1,1,6,23,1
Matt Flynn,GB,1,24,32,258,1,1,6,28,0
Matt Ryan,ATL,1,20,35,206,2,1,0,0,0
Carson Palmer,ARI,1,27,32,269,1,0,1,-1,0
Chad Henne,JAC,1,12,27,117,2,0,4,33,0
Tony Romo,DAL,1,11,20,104,3,0,1,-1,0
Eli Manning,NYG,1,20,32,259,1,2,0,0,0
Cam Newton,CAR,1,22,34,160,1,0,6,48,0
Colin Kaepernick,SF,1,15,29,175,1,1,9,31,0
Alex Smith,KC,1,14,20,137,2,0,2,7,0
Robert Griffin III,WAS,1,12,26,164,1,1,4,29,0
Matt Schaub,HOU,1,17,29,198,1,1,1,7,0
Russell Wilson,SEA,1,15,25,199,1,1,1,2,0
Case Keenum,HOU,1,16,29,159,1,1,1,13,0
Ryan Fitzpatrick,TEN,1,13,24,172,1,1,1,4,0
Mike Glennon,TB,1,9,25,90,2,2,1,0,0
EJ Manuel,BUF,1,18,33,184,0,4,5,29,0
Kellen Clemens,STL,1,16,27,181,0,2,2,10,0
Matthew Stafford,DET,1,10,25,148,0,0,6,-1,0
Kirk Cousins,WAS,1,7,16,59,0,0,0,0,0
Kyle Orton,DAL,1,3,5,40,0,0,0,0,0
Chase Daniel,KC,1,1,3,17,0,1,3,-3,0
Charlie Whitehurst,SD,1,0,0,0,0,0,3,-2,0
