,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Doug Martin,TB,1,24,123,2,3,3,35,1
Devonta Freeman,ATL,1,27,153,1,8,7,44,0
Justin Forsett,BAL,1,21,121,1,5,4,49,0
Thomas Rawls,SEA,1,23,169,1,0,0,0,0
Le'Veon Bell,PIT,1,21,111,1,5,4,16,0
DeMarco Murray,PHI,1,20,83,1,8,7,37,0
Shane Vereen,NYG,1,5,24,0,8,8,86,1
Matt Forte,CHI,1,18,71,0,7,5,38,1
Todd Gurley,STL,1,30,159,0,0,0,0,0
Frank Gore,IND,1,22,98,1,0,0,0,0
Carlos Hyde,SF,1,21,93,1,5,1,4,0
Ryan Mathews,PHI,1,8,73,1,3,3,23,0
Dion Lewis,NE,1,6,34,0,11,8,59,1
Isaiah Crowell,CLE,1,13,49,0,2,2,38,1
Charles Sims,TB,1,12,51,0,4,4,85,0
David Johnson,ARI,1,3,6,2,0,0,0,0
Andre Ellington,ARI,1,3,63,1,0,0,0,0
T.J. Yeldon,JAC,1,11,32,0,6,5,31,1
Arian Foster,HOU,1,19,41,0,10,9,77,0
Marcel Reece,OAK,1,1,6,0,8,7,49,1
Antonio Andrews,TEN,1,7,9,1,4,3,45,0
Theo Riddick,DET,1,0,0,0,13,10,53,1
Chris Johnson,ARI,1,11,103,0,0,0,0,0
Giovani Bernard,CIN,1,15,80,0,8,5,21,0
Matt Jones,WAS,1,11,20,1,2,1,17,0
Melvin Gordon,SD,1,15,42,0,9,7,52,0
Kyle Juszczyk,BAL,1,0,0,0,6,3,31,1
De'Anthony Thomas,KC,1,1,5,0,3,2,24,1
Jamaal Charles,KC,1,12,58,0,4,1,26,0
Darren McFadden,DAL,1,5,16,0,10,9,62,0
Duke Johnson,CLE,1,9,22,0,8,6,55,0
Danny Woodhead,SD,1,4,10,0,7,5,66,0
LeGarrette Blount,NE,1,13,74,0,0,0,0,0
Mark Ingram,NO,1,12,57,0,3,2,17,0
Joseph Randle,DAL,1,15,60,0,4,4,13,0
Rashad Jennings,NYG,1,11,46,0,4,4,21,0
Javorius Allen,BAL,1,8,58,0,1,0,0,0
Latavius Murray,OAK,1,13,39,0,4,3,18,0
Chris Thompson,WAS,1,3,15,0,7,6,33,0
James Starks,GB,1,5,17,0,6,3,29,0
Bishop Sankey,TEN,1,7,20,0,3,3,23,0
C.J. Anderson,DEN,1,11,22,0,2,2,18,0
Anthony Dixon,BUF,1,7,19,0,3,3,20,0
Darren Sproles,PHI,1,5,27,0,2,1,10,0
Zach Zenner,DET,1,10,30,0,2,1,7,0
Charcandrick West,KC,1,7,31,0,2,1,5,0
Eddie Lacy,GB,1,13,27,0,1,1,8,0
Fred Jackson,SEA,1,2,5,0,3,3,29,0
Alfred Blue,HOU,1,6,22,0,1,1,11,0
Khiry Robinson,NO,1,5,30,0,2,2,2,0
Benny Cunningham,STL,1,0,0,0,2,2,28,0
Dan Herron,BUF,1,9,28,0,0,0,0,0
Ameer Abdullah,DET,1,6,17,0,2,1,9,0
Ronnie Hillman,DEN,1,7,21,0,2,1,5,0
Jeremy Hill,CIN,1,8,13,0,2,1,12,0
Bruce Miller,SF,1,0,0,0,2,2,23,0
Chris Polk,HOU,1,1,5,0,3,2,17,0
DeAngelo Williams,PIT,1,5,20,0,0,0,0,0
Stepfan Taylor,ARI,1,4,19,0,1,0,0,0
Roy Helu,OAK,1,3,6,0,6,3,12,0
Dexter McCluster,TEN,1,8,20,0,1,1,-2,0
Juwan Thompson,DEN,1,0,0,0,1,1,16,0
Alfred Morris,WAS,1,8,15,0,0,0,0,0
Jamize Olawale,OAK,1,6,13,0,0,0,0,0
Jeremy Langford,CHI,1,2,-2,0,2,1,14,0
Josh Robinson,IND,1,3,6,0,1,1,6,0
Jarryd Hayne,SF,1,2,9,0,0,0,0,0
Zurlon Tipton,IND,1,2,9,0,1,0,0,0
Tre Mason,STL,1,2,8,0,0,0,0,0
Michael Burton,DET,1,0,0,0,1,1,6,0
Christine Michael,DAL,1,1,6,0,0,0,0,0
Bernard Pierce,JAC,1,2,6,0,0,0,0,0
Rod Smith,SEA,1,2,5,0,0,0,0,0
Tevin Coleman,ATL,1,2,3,0,0,0,0,0
John Kuhn,GB,1,1,3,0,1,0,0,0
Jacquizz Rodgers,CHI,1,2,3,0,0,0,0,0
Cierre Wood,BUF,1,2,3,0,0,0,0,0
Knile Davis,KC,1,2,2,0,0,0,0,0
Jerome Felton,BUF,1,1,2,0,0,0,0,0
Toby Gerhart,JAC,1,1,2,0,1,0,0,0
C.J. Spiller,NO,1,3,10,0,4,3,-8,0
Terron Ward,ATL,1,0,0,0,2,0,0,0
Andre Williams,NYG,1,3,0,0,0,0,0,0
Reggie Bush,SF,1,1,-1,0,0,0,0,0
Rex Burkhead,CIN,1,1,-2,0,0,0,0,0
Corey Grant,JAC,1,2,-6,0,0,0,0,0
