,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Rob Gronkowski,NE,1,9,9,149,3
Antonio Gates,SD,1,8,5,54,2
Heath Miller,PIT,1,8,7,112,1
Martellus Bennett,CHI,1,7,6,95,1
Jason Witten,DAL,1,8,5,70,1
Jimmy Graham,NO,1,6,5,59,1
Tim Wright,NE,1,7,7,61,1
Delanie Walker,TEN,1,9,4,37,1
Austin Seferian-Jenkins,TB,1,4,3,26,1
Mychal Rivera,OAK,1,9,7,83,0
Luke Willson,SEA,1,4,1,23,1
Dwayne Allen,IND,1,2,1,21,1
Scott Chandler,BUF,1,2,1,12,1
Lee Smith,BUF,1,2,2,5,1
Josh Hill,NO,1,1,1,2,1
Chase Ford,MIN,1,6,6,61,0
Lance Kendricks,STL,1,1,1,1,1
Bear Pascoe,ATL,1,1,1,1,1
Richard Rodgers,GB,1,5,4,58,0
Jace Amaro,NYJ,1,5,5,51,0
Dion Sims,MIA,1,2,2,51,0
Zach Ertz,PHI,1,8,5,48,0
Travis Kelce,KC,1,6,4,45,0
Jordan Cameron,CLE,1,5,3,40,0
Jordan Reed,WAS,1,7,7,40,0
Jermaine Gresham,CIN,1,4,4,34,0
Jim Dray,CLE,1,2,2,27,0
Clay Harbor,JAC,1,4,2,27,0
Niles Paul,WAS,1,3,3,27,0
Levine Toilolo,ATL,1,2,2,26,0
Crockett Gillmore,BAL,1,2,2,23,0
Julius Thomas,DEN,1,6,2,23,0
Anthony Fasano,KC,1,4,4,19,0
Andrew Quarless,GB,1,3,2,19,0
John Carlson,ARI,1,6,2,16,0
Greg Olsen,CAR,1,3,1,16,0
Ed Dickson,CAR,1,1,1,13,0
Jared Cook,STL,1,3,1,11,0
Cooper Helfet,SEA,1,4,1,11,0
Ladarius Green,SD,1,1,1,9,0
Brent Celek,PHI,1,4,2,8,0
James Hanna,DAL,1,1,1,7,0
Dante Rosario,CHI,1,2,1,6,0
Ryan Hewitt,CIN,1,1,1,5,0
Coby Fleener,IND,1,4,1,4,0
Demetrius Harris,KC,1,1,1,4,0
Jacob Tamme,DEN,1,1,1,4,0
Brandon Myers,TB,1,2,1,3,0
Charles Clay,MIA,1,3,1,1,0
Gary Barnidge,CLE,1,1,0,0,0
Jeff Cumberland,NYJ,1,3,0,0,0
Kellen Davis,DET,1,2,0,0,0
Rhett Ellison,MIN,1,1,0,0,0
Garrett Graham,HOU,1,1,0,0,0
Robert Housler,ARI,1,1,0,0,0
Nic Jacobs,JAC,1,1,0,0,0
