,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Eric Decker,NYJ,1,11,10,221,1,0,0,0
Michael Floyd,ARI,1,12,8,153,2,0,0,0
Odell Beckham Jr.,NYG,1,21,12,185,1,0,0,0
Dez Bryant,DAL,1,6,4,99,2,0,0,0
Randall Cobb,GB,1,5,4,80,2,2,6,0
Andre Johnson,HOU,1,15,10,134,1,0,0,0
Antonio Brown,PIT,1,13,7,128,1,0,0,0
Jordan Matthews,PHI,1,10,8,105,1,0,0,0
Calvin Johnson,DET,1,11,4,39,2,0,0,0
Rueben Randle,NYG,1,13,6,158,0,0,0,0
DeSean Jackson,WAS,1,3,2,86,1,0,0,0
Torrey Smith,BAL,1,7,4,83,1,0,0,0
Anquan Boldin,SF,1,9,2,81,1,0,0,0
Adam Thielen,MIN,1,3,3,68,1,0,0,0
Chris Owusu,NYJ,1,1,1,36,0,1,23,1
Demaryius Thomas,DEN,1,17,8,115,0,0,0,0
Mike Evans,TB,1,6,5,54,1,0,0,0
Marques Colston,NO,1,7,2,51,1,0,0,0
Roddy White,ATL,1,12,8,104,0,0,0,0
Robert Woods,BUF,1,4,4,39,1,0,0,0
Eddie Royal,SD,1,8,4,95,0,0,0,0
Brian Hartline,MIA,1,6,5,94,0,0,0,0
Reggie Wayne,IND,1,3,2,91,0,0,0,0
Steve Smith,BAL,1,12,8,90,0,0,0,0
Jordy Nelson,GB,1,8,6,86,0,0,0,0
Brandon LaFell,NE,1,6,4,70,0,2,13,0
A.J. Green,CIN,1,13,8,82,0,0,0,0
Kenny Stills,NO,1,7,5,82,0,0,0,0
Martavis Bryant,PIT,1,2,1,21,1,0,0,0
Dontrelle Inman,SD,1,8,5,79,0,0,0,0
Kendall Wright,TEN,1,5,2,9,1,1,10,0
Kamar Aiken,BAL,1,2,2,13,1,0,0,0
Emmanuel Sanders,DEN,1,9,6,73,0,0,0,0
Philly Brown,CAR,1,1,1,28,0,2,41,0
Terrance Williams,DAL,1,5,3,68,0,0,0,0
Taylor Gabriel,CLE,1,7,3,66,0,0,0,0
Sammy Watkins,BUF,1,5,3,57,0,1,5,0
Paul Richardson,SEA,1,7,5,60,0,0,0,0
Julio Jones,ATL,1,8,4,58,0,0,0,0
Cole Beasley,DAL,1,9,6,57,0,0,0,0
Jarvis Landry,MIA,1,9,5,55,0,0,0,0
Pierre Garcon,WAS,1,5,2,53,0,0,0,0
Doug Baldwin,SEA,1,4,3,43,0,1,8,0
John Brown,ARI,1,9,4,51,0,0,0,0
Jeremy Maclin,PHI,1,6,3,49,0,0,0,0
Cecil Shorts,JAC,1,10,5,47,0,0,0,0
Hakeem Nicks,IND,1,6,3,46,0,0,0,0
Greg Jennings,MIN,1,5,3,45,0,0,0,0
Golden Tate,DET,1,5,3,45,0,0,0,0
Jeremy Kerley,NYJ,1,2,1,33,0,2,11,0
Wes Welker,DEN,1,2,2,42,0,0,0,0
Michael Crabtree,SF,1,4,4,41,0,0,0,0
Brian Tyms,NE,1,6,4,39,0,0,0,0
Kenny Britt,STL,1,5,4,38,0,0,0,0
Riley Cooper,PHI,1,3,2,37,0,0,0,0
Quinton Patton,SF,1,1,1,35,0,0,0,0
Alshon Jeffery,CHI,1,5,2,34,0,0,0,0
Kevin Norwood,SEA,1,2,2,34,0,0,0,0
Andrew Hawkins,CLE,1,7,4,33,0,0,0,0
Damaris Johnson,HOU,1,3,3,33,0,0,0,0
Jeremy Ross,DET,1,2,2,33,0,0,0,0
Devin Hester,ATL,1,6,4,32,0,0,0,0
Dwayne Bowe,KC,1,5,3,30,0,0,0,0
Larry Fitzgerald,ARI,1,4,2,29,0,0,0,0
Malcom Floyd,SD,1,8,3,29,0,0,0,0
Harry Douglas,ATL,1,6,5,28,0,0,0,0
Brandon Gibson,MIA,1,7,3,27,0,0,0,0
Jerricho Cotchery,CAR,1,3,3,25,0,0,0,0
Santana Moss,WAS,1,5,3,25,0,0,0,0
Danny Amendola,NE,1,7,4,24,0,0,0,0
Ace Sanders,JAC,1,1,1,24,0,0,0,0
Nick Toon,NO,1,2,1,24,0,0,0,0
Jarius Wright,MIN,1,3,3,23,0,0,0,0
Josh Morgan,CHI,1,2,1,13,0,1,9,0
Brandon Tate,CIN,1,3,2,22,0,0,0,0
Preston Parker,NYG,1,4,2,20,0,0,0,0
Chris Givens,STL,1,2,2,18,0,0,0,0
Marquess Wilson,CHI,1,3,2,18,0,0,0,0
Stedman Bailey,STL,1,2,1,17,0,0,0,0
Marlon Brown,BAL,1,1,1,17,0,0,0,0
Michael Campanaro,BAL,1,3,1,17,0,0,0,0
James Jones,OAK,1,3,2,17,0,0,0,0
Markus Wheaton,PIT,1,4,3,17,0,0,0,0
Derek Hagan,TEN,1,5,2,16,0,0,0,0
Robert Meachem,NO,1,1,1,16,0,0,0,0
Donte Moncrief,IND,1,5,3,16,0,0,0,0
Mohamed Sanu,CIN,1,1,1,16,0,0,0,0
Allen Hurns,JAC,1,4,2,15,0,0,0,0
Tavon Austin,STL,1,2,2,13,0,2,1,0
Cody Latimer,DEN,1,2,1,14,0,0,0,0
Brandon Lloyd,SF,1,1,1,14,0,0,0,0
Tavarres King,TB,1,3,2,13,0,0,0,0
Vincent Jackson,TB,1,2,1,11,0,0,0,0
Charles Johnson,MIN,1,4,2,22,0,1,-11,0
Andre Holmes,OAK,1,7,2,10,0,0,0,0
Russell Shepard,TB,1,2,1,10,0,0,0,0
Seyi Ajirotutu,SD,1,1,1,9,0,0,0,0
Kelvin Benjamin,CAR,1,5,1,9,0,0,0,0
Travis Benjamin,CLE,1,3,1,9,0,0,0,0
Marqise Lee,JAC,1,8,2,8,0,0,0,0
Jason Avant,KC,1,3,1,7,0,0,0,0
Ryan Grant,WAS,1,2,1,7,0,0,0,0
Andre Roberts,WAS,1,3,1,7,0,0,0,0
Dane Sanzenbacher,CIN,1,1,1,7,0,0,0,0
Brice Butler,OAK,1,1,1,6,0,0,0,0
Ted Ginn Jr.,ARI,1,1,1,6,0,0,0,0
Josh Huff,PHI,1,2,1,6,0,0,0,0
DeAndre Hopkins,HOU,1,6,2,5,0,0,0,0
Chris Hogan,BUF,1,3,1,3,0,0,0,0
Kenbrell Thompkins,OAK,1,3,1,2,0,0,0,0
Dwayne Harris,DAL,1,0,0,0,0,1,1,0
Brenton Bersin,CAR,1,1,0,0,0,0,0,0
Andre Caldwell,DEN,1,1,0,0,0,0,0,0
Kris Durham,TEN,1,2,0,0,0,0,0,0
Corey Fuller,DET,1,1,0,0,0,0,0,0
T.Y. Hilton,IND,1,3,0,0,0,0,0,0
Cordarrelle Patterson,MIN,1,1,0,0,0,0,0,0
Rodney Smith,CLE,1,1,0,0,0,0,0,0
Mike Wallace,MIA,1,1,0,0,0,0,0,0
Nate Washington,TEN,1,3,0,0,0,0,0,0
Albert Wilson,KC,1,4,0,0,0,0,0,0
