player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Patriots,DST,12.48,5.09,2.3,22.66,11.6,12.0
Vikings,DST,12.04,5.67,0.69,23.39,10.87,9.3
Cardinals,DST,11.28,6.4,-1.52,24.07,9.76,9.0
Panthers,DST,11.05,3.19,4.67,17.43,10.61,10.45
Eagles,DST,9.46,3.33,2.8,16.12,9.0,7.8
Redskins,DST,9.44,6.38,-3.32,22.2,7.96,6.5
Broncos,DST,9.44,2.37,4.7,14.18,9.19,9.0
49ers,DST,9.28,7.71,-6.14,24.69,6.59,6.2
Packers,DST,8.78,2.76,3.26,14.3,8.41,7.7
Steelers,DST,8.48,2.52,3.43,13.53,8.14,8.1
Bengals,DST,8.4,3.86,0.68,16.12,7.74,6.5
Lions,DST,8.22,3.95,0.33,16.11,7.52,6.7
Ravens,DST,8.2,4.1,-0.0,16.4,7.38,6.4
Texans,DST,8.18,3.02,2.14,14.22,7.73,7.2
Raiders,DST,8.02,4.08,-0.14,16.18,7.24,6.5
Bills,DST,8.0,4.08,-0.17,16.17,7.23,6.4
Colts,DST,7.94,3.65,0.64,15.24,7.3,6.2
Buccaneers,DST,7.8,3.76,0.27,15.33,7.03,6.35
Bears,DST,7.7,4.25,-0.8,16.2,6.83,6.3
Jets,DST,7.58,3.53,0.51,14.65,6.84,6.5
Chargers,DST,7.3,3.91,-0.53,15.13,6.55,5.1
Dolphins,DST,7.04,3.74,-0.45,14.53,6.24,5.3
Giants,DST,6.92,3.72,-0.53,14.37,6.14,5.7
Falcons,DST,6.84,3.74,-0.63,14.31,6.05,5.8
Titans,DST,6.78,3.82,-0.85,14.41,5.92,5.4
Cowboys,DST,6.5,3.77,-1.04,14.04,5.75,4.4
Browns,DST,5.16,4.49,-3.81,14.13,5.95,4.7
Cam Newton,QB,22.4,2.19,18.02,26.77,22.29,23.27
Aaron Rodgers,QB,21.4,2.75,15.9,26.9,21.23,21.46
Ben Roethlisberger,QB,21.11,2.36,16.38,25.83,20.97,21.88
Andrew Luck,QB,20.76,0.47,19.81,21.71,20.76,20.85
Tom Brady,QB,20.32,1.13,18.06,22.58,20.29,20.49
Derek Carr,QB,20.0,2.13,15.74,24.26,19.9,19.0
Philip Rivers,QB,19.05,3.91,11.22,26.88,18.69,17.99
Matthew Stafford,QB,18.33,2.76,12.8,23.86,18.13,17.54
Joe Flacco,QB,17.52,1.71,14.1,20.95,17.44,17.26
Matt Ryan,QB,17.37,5.38,6.6,28.13,16.72,15.99
Ryan Fitzpatrick,QB,17.24,2.09,13.06,21.41,17.11,17.7
Ryan Tannehill,QB,16.99,2.0,12.99,20.99,16.87,17.0
Eli Manning,QB,16.72,2.67,11.39,22.06,16.54,15.57
Jameis Winston,QB,16.55,1.47,13.61,19.48,16.48,17.08
Tyrod Taylor,QB,16.53,1.87,12.79,20.27,16.43,15.84
Andy Dalton,QB,16.5,1.86,12.78,20.23,16.39,17.02
Marcus Mariota,QB,16.31,1.68,12.95,19.67,16.22,16.25
Carson Wentz,QB,16.23,2.52,11.19,21.27,16.01,16.77
Kirk Cousins,QB,16.08,1.39,13.3,18.85,16.02,16.2
Carson Palmer,QB,15.25,8.33,-1.41,31.92,16.64,16.39
Blaine Gabbert,QB,14.75,1.82,11.12,18.38,14.64,14.25
Dak Prescott,QB,14.39,0.72,12.95,15.84,14.38,14.3
Brock Osweiler,QB,13.81,1.19,11.44,16.19,13.76,13.98
Trevor Siemian,QB,13.75,4.13,5.48,22.01,12.91,14.38
Sam Bradford,QB,12.59,0.79,11.02,14.16,12.56,13.01
Cody Kessler,QB,12.12,1.48,9.16,15.07,12.02,12.67
Brian Hoyer,QB,10.55,6.33,-2.11,23.21,11.3,13.32
Case Keenum,QB,10.3,2.44,5.42,15.18,9.89,11.37
Paxton Lynch,QB,4.95,5.28,-5.61,15.5,2.47,3.02
Colin Kaepernick,QB,4.79,8.5,-12.22,21.8,1.51,0.76
Jimmy Garoppolo,QB,3.36,6.47,-9.57,16.3,0.48,0.1
Drew Stanton,QB,3.26,5.15,-7.03,13.56,1.3,0.24
Geno Smith,QB,3.24,4.54,-5.84,12.33,1.14,0.35
Shaun Hill,QB,2.64,5.0,-7.35,12.64,0.53,0.17
Derek Anderson,QB,1.51,2.1,-2.69,5.71,0.5,0.06
Mark Sanchez,QB,0.83,0.88,-0.92,2.59,0.67,0.36
Colt McCoy,QB,0.66,1.12,-1.57,2.89,0.29,0.12
AJ McCarron,QB,0.49,0.72,-0.96,1.94,0.29,0.14
Matt McGloin,QB,0.48,0.76,-1.03,2.0,0.22,0.12
Mike Glennon,QB,0.46,0.65,-0.85,1.77,0.3,0.16
Landry Jones,QB,0.43,0.45,-0.48,1.34,0.31,0.34
Dan Orlovsky,QB,0.38,0.54,-0.71,1.46,0.19,0.1
Tom Savage,QB,0.34,0.49,-0.64,1.32,0.16,0.1
Matt Cassel,QB,0.34,0.41,-0.49,1.16,0.26,0.14
Scott Tolzien,QB,0.28,0.35,-0.43,0.99,0.13,0.11
